customerID,Churn
5445-GLVOT,0
3138-BKYAV,0
3569-JFODW,0
4429-WYGFR,0
9013-AQORL,0
8232-UTFOZ,0
2634-HCZGT,0
6974-DAFLI,0
3946-JEWRQ,0
4923-ADWXJ,0
1958-RNRKS,0
3050-RLLXC,0
1530-ZTDOZ,0
7196-LIWRH,0
8332-OSJDW,0
7075-BNDVQ,0
3518-FSTWG,0
0661-KQHNK,0
0617-FHSGK,0
3413-BMNZE,0
7781-HVGMK,0
5240-CAOYT,0
4250-FDVOU,0
9512-PHSMG,0
5043-TRZWM,0
0853-TWRVK,0
7660-HDPJV,0
6421-SZVEM,0
6784-XYJAE,0
9774-NRNAU,0
1080-BWSYE,0
4390-KYULV,0
3094-JOJAI,0
4280-DLSHD,0
3389-KTRXV,0
3255-GRXMG,0
6038-GCYEC,0
5949-XIKAE,0
9447-YPTBX,0
5461-QKNTN,0
1928-BXYIV,0
8650-RHRKE,0
0303-UNCIP,0
0268-QKIWO,0
2474-BRUCM,0
2057-ZBLPD,0
3296-SILRA,0
9667-EQRXU,0
9477-LGWQI,0
7242-EDTYC,0
2862-PFNIK,0
5126-RCXYW,0
7029-RPUAV,0
0793-TWELN,0
9300-AGZNL,0
4659-NZRUF,0
7369-TRPFD,0
3096-GKWEB,0
8612-GXIDD,0
4360-PNRQB,0
0017-DINOC,0
1725-IQNIY,0
0379-DJQHR,0
6905-NIQIN,0
5131-PONJI,0
6827-IEAUQ,0
7783-YKGDV,0
3148-BLQJT,0
7602-MVRMB,0
8788-DOXSU,0
5312-IRCFR,0
4455-BFSPD,0
6114-TCFID,0
4902-OHLSK,0
5960-MVTUK,0
2606-PKWJB,0
2239-JALAW,0
7274-CGTOD,0
8461-EFQYM,0
0877-SDMBN,0
4012-ZTHBR,0
3466-BYAVD,0
4389-UEFCZ,0
3420-ZDBMA,0
3161-GETRM,0
4560-WQAQW,0
1121-QSIVB,0
5857-XRECV,0
6728-WYQBC,0
0932-YIXYU,0
8066-POXGX,0
3865-ZYKAD,0
8741-LQOBK,0
2794-XIMMO,0
6519-CFDBX,0
6986-IJDHX,0
4947-DSMXK,0
7321-VGNKU,0
5439-WIKXB,0
4123-FCVCB,0
7636-PEPNS,0
3511-BFTJW,0
0206-TBWLC,0
3466-WAESX,0
8853-TZDGH,0
5158-RIVOP,0
7302-ZHMHP,0
3018-TFTSU,0
8450-UYIBU,0
1373-ORVIZ,0
1041-RXHRA,0
4881-JVQOD,0
9565-JSNFM,0
7010-BRBUU,0
5174-ITUMV,0
5067-XJQFU,0
4324-BZCKL,0
9945-PSVIP,0
3806-YAZOV,0
5918-VUKWP,0
0568-ONFPC,0
5214-CHIWJ,0
3957-HHLMR,0
0111-KLBQG,0
7037-MTYVW,0
7048-GXDAY,0
1877-HKBQX,0
2065-MMKGR,0
2050-ONYDQ,0
9281-PKKZE,0
0748-RDGGM,0
0318-QUUOB,0
3496-LFSZU,0
4521-YEEHE,0
7088-FBAWU,0
4801-KFYKL,0
5261-QSHQM,0
1964-SVLEA,0
3143-JQEGI,0
7969-AULMZ,0
6211-WWLTF,0
9251-AWQGT,0
1635-HDGFT,0
0835-JKADZ,0
8718-PTMEZ,0
1866-OBPNR,0
4811-JBUVU,0
2430-RRYUW,0
5296-BFCYD,0
0946-FKYTX,0
8305-VHZBZ,0
4676-WLUHT,0
7000-WCEVQ,0
6873-UDNLD,0
8111-SLLHI,0
7629-WFGLW,0
7586-ZATGZ,0
7706-DZNKK,0
6015-VVHHE,0
6861-XWTWQ,0
9479-HYNYL,0
7901-TBKJX,0
4237-RLAQD,0
4468-YDOVK,0
6849-OYAMU,0
8263-QMNTJ,0
8974-OVACP,0
3717-FDJFU,0
4248-QPAVC,0
0096-BXERS,0
0786-IVLAW,0
8580-QVLOC,0
0513-RBGPE,0
9842-EFSYY,0
6900-RBKER,0
7820-ZYGNY,0
2720-FVBQP,0
3197-NNYNB,0
3039-MJSLN,0
9298-WGMRW,0
6713-OKOMC,0
6261-LHRTG,0
3099-OONVS,0
3834-XUIFC,0
7285-KLOTR,0
4884-LEVMQ,0
5240-IJOQT,0
9995-HOTOH,0
6650-BWFRT,0
1291-CUOCY,0
6333-YDVLT,0
3005-TYFRD,0
7839-QRKXN,0
0547-HURJB,0
8062-YBDOE,0
3313-QKNKB,0
1579-KLYDT,0
5173-WXOQV,0
4366-CTOUZ,0
6663-JOCQO,0
9057-SIHCH,0
1423-BMPBQ,0
4553-DVPZG,0
1022-RKXDR,0
3746-EUBYR,0
4795-UXVCJ,0
4962-CHQPW,0
4877-TSOFF,0
0362-ZBZWJ,0
3251-YMVWZ,0
3261-CQXOL,0
5751-USDBL,0
1891-UAWWU,0
0052-YNYOT,0
4836-WNFNO,0
1568-BEKZM,0
6171-ZTVYB,0
2256-YLYLP,0
2947-DOMLJ,0
0420-BWTPW,0
0930-EHUZA,0
7895-VONWT,0
4816-OKWNX,0
2144-ESWKO,0
5973-EJGDP,0
4257-GAESD,0
6127-IYJOZ,0
2885-HIJDH,0
9921-EZKBY,0
0757-WCUUZ,0
3709-OIJEA,0
0023-UYUPN,0
5567-WSELE,0
1209-VFFOC,0
9500-WBGRP,0
9637-EIHEQ,0
2798-NYLMZ,0
1818-ESQMW,0
3850-OKINF,0
6344-SFJVH,0
4825-XJGDM,0
3415-TAILE,0
0643-OKLRP,0
7024-OHCCK,0
2528-HFYZX,0
5170-PTRKA,0
8028-PNXHQ,0
8050-WYBND,0
8361-LTMKD,0
9850-OWRHQ,0
